date,topic,cluster_compound,n_sentences
2025-05-07,17,-0.8943133354187012,1
2025-05-07,18,-0.0002149874546735949,3
2025-05-07,19,0.4464366746183259,2
2025-05-07,20,-0.2496945051659596,4
2025-05-07,21,-0.44283941972594576,4
2025-05-07,22,-0.000957354825004586,2
2025-05-07,23,-0.0010345623170119704,6
2025-05-07,26,-0.002133462607389447,2
2025-05-07,28,-0.31611402126600296,2
2025-05-07,29,-0.18651250564019506,4
2025-05-07,30,-0.9334503695135936,1
2025-05-07,31,0.8494841861247551,1
2025-05-07,32,-0.0006717273124650092,2
2025-05-07,33,0.16985539712914033,1
2025-05-07,35,0.24404991047006064,4
2025-05-07,36,-0.0008928786282922374,3
2025-05-07,37,0.0952731560705128,7
2025-05-07,38,-8.176248798008601e-07,1
2025-05-07,40,0.3815944727322176,2
2025-05-07,41,-0.0006646653637290001,1
2025-05-07,42,-0.6055758171472311,3
2025-05-07,43,-0.005005653253192577,2
2025-05-07,45,-0.5066070667089662,1
2025-05-07,48,-0.31938596821157716,9
2025-05-07,49,-3.241153865474189e-05,1
2025-05-07,50,-0.0032041995487285626,9
2025-05-07,51,0.9999970126581146,1
2025-05-07,52,-0.004949916816997302,2
2025-06-18,0,-0.010805982453843278,17
2025-06-18,1,-0.026407801816193337,18
2025-06-18,2,0.5874679037337309,11
2025-06-18,3,0.3823454033181406,4
2025-06-18,4,0.03681182679568709,11
2025-06-18,5,0.4543402015697211,1
2025-06-18,6,0.37442032025635763,8
2025-06-18,7,-0.0009051194924438732,8
2025-06-18,8,-0.03681228384862152,5
2025-06-18,9,0.20413774524548672,5
2025-06-18,10,0.8446884969054812,3
2025-06-18,11,-0.00011101561312898411,2
2025-06-18,12,5.6017809058062085e-06,4
2025-06-18,14,-0.4984084973509715,4
2025-06-18,15,-0.00792768872124725,5
2025-06-18,16,-3.0753429022922774e-05,2
2025-06-18,17,-0.004365818780570407,1
2025-06-18,18,-9.063883197768519e-06,1
2025-06-18,20,-0.22827702626790014,8
2025-06-18,21,-1.0535485371221398e-05,2
2025-06-18,22,-0.07295291434103508,6
2025-06-18,23,0.16648755090619716,6
2025-06-18,25,-2.588216375443153e-06,1
